,leaid,math_score,rla_score
142,513080,35.0,49.0
143,513110,26.0,36.0
144,513380,55.0,76.0
145,513410,36.0,51.0
146,513530,42.0,56.0
147,513930,10.0,21.0
148,514140,33.0,46.0
149,514430,29.0,44.0
150,600013,58.0,74.0
151,600014,21.0,39.0
152,600016,27.0,58.0
153,600017,18.0,46.0
154,600019,63.0,79.0
155,600020,68.0,81.0
156,600025,71.0,83.0
157,600027,19.0,44.0
158,600028,44.0,76.0
159,600029,35.0,62.0
160,600032,52.0,56.0
161,600034,26.0,55.0
162,600036,25.0,51.0
163,600047,28.0,54.0
164,600048,34.0,58.0
165,600062,30.0,49.0
166,600064,23.0,56.0
167,600065,15.0,54.0
168,600153,54.0,64.0
169,600158,27.0,62.0
170,601332,18.0,44.0
171,601414,40.0,59.0
172,601421,21.0,39.0
173,601620,49.0,73.0
174,601650,68.0,81.0
175,601770,52.0,68.0
176,602430,16.0,41.0
177,602630,24.0,52.0
178,602670,45.0,68.0
179,602700,29.0,54.0
180,602820,12.0,37.0
181,602850,17.0,44.0
182,602970,62.0,64.0
183,603030,35.0,57.0
184,603300,25.0,53.0
185,603600,24.0,54.0
186,603690,24.0,51.0
187,603840,10.0,34.0
188,604020,15.0,39.0
189,604290,23.0,54.0
190,604440,26.0,62.0
191,604620,41.0,57.0
192,604740,53.0,66.0
193,604830,57.0,80.0
194,605610,42.0,78.0
195,605820,28.0,56.0
196,605880,48.0,59.0
197,606450,38.0,65.0
198,606900,24.0,44.0
199,607230,43.0,69.0
200,607440,49.0,74.0
201,607500,52.0,66.0
202,607800,54.0,65.0
203,607900,28.0,52.0
204,607920,13.0,46.0
205,607970,13.0,49.0
206,608010,18.0,57.0
207,608130,25.0,54.0
208,608160,37.0,65.0
209,608190,26.0,45.0
210,608370,43.0,62.0
211,608460,36.0,57.0
212,608760,48.0,70.0
213,609030,48.0,76.0
214,609070,14.0,37.0
215,609390,19.0,50.0
216,609620,9.0,28.0
217,609640,47.0,62.0
218,609850,37.0,65.0
219,609940,35.0,55.0
220,610050,28.0,58.0
221,610260,36.0,73.0
222,610620,67.0,77.0
223,610860,36.0,64.0
224,611110,20.0,54.0
225,611460,27.0,57.0
226,611820,40.0,61.0
227,612070,53.0,68.0
228,612120,30.0,56.0
229,612180,25.0,52.0
230,612210,68.0,80.0
231,612330,34.0,56.0
232,612910,23.0,56.0
233,613360,22.0,49.0
234,613530,24.0,51.0
235,613890,48.0,68.0
236,613920,24.0,53.0
237,614400,66.0,78.0
238,614430,75.0,80.0
239,614550,15.0,42.0
240,614760,42.0,62.0
241,614820,29.0,47.0
242,614880,44.0,65.0
243,615180,32.0,57.0
244,615240,47.0,67.0
245,615270,51.0,73.0
246,616230,33.0,60.0
247,616325,28.0,55.0
248,616500,19.0,58.0
249,616740,23.0,46.0
250,616920,17.0,49.0
251,618060,50.0,71.0
252,618390,8.0,30.0
253,618930,37.0,61.0
254,619260,17.0,41.0
255,619490,21.0,59.0
256,619540,21.0,49.0
257,619650,13.0,47.0
258,619700,29.0,70.0
259,620130,82.0,86.0
260,621000,48.0,64.0
261,621400,19.0,51.0
262,621600,31.0,57.0
263,621690,30.0,62.0
264,622110,46.0,61.0
265,622230,31.0,48.0
266,622410,23.0,46.0
267,622500,27.0,49.0
268,622590,57.0,75.0
269,622710,23.0,51.0
270,622740,15.0,47.0
271,622800,74.0,84.0
272,623080,30.0,58.0
273,623160,10.0,37.0
274,623340,14.0,42.0
275,623610,18.0,47.0
276,624030,27.0,46.0
277,624090,16.0,43.0
278,624500,54.0,72.0
279,624660,19.0,45.0
280,625150,22.0,47.0
281,625320,31.0,63.0
282,625470,14.0,45.0
